equipment_id,hotel_id,equipment_type,location,exact_location,install_year,manufacturer,condition,hotel_name,city,province,star_rating,rooms,hotel_type,record_id,last_service_date,service_interval_months,months_since_service,fault_count,technician,service_cost_LKR,next_service_date,equipment_age_years,risk_level,usage_level,daily_exposure_hours,humidity_level,temperature_avg_c,coastal_exposure,power_fluctuation_level,backup_power_available,technician_experience_years,service_quality_score,certification_status,last_audit_score,activated_before,activation_count,last_activation_year,floor_level,near_emergency_exit
FE000015,H0189,Emergency Light,Corridor,Floor 6 – Corridor 1,2012,Local,Fair,Aitken Villa Negombo,Negombo,Western,5,209,Business Hotel,M000015,12/12/2025,3,0,0,Lanka Safety,3450,3/13/2026,13,Medium,Low,4,High,31,Yes,Medium,Yes,7,4,Valid,85,No,0,,6,Yes
FE000016,H0213,Emergency Light,Lobby,Floor 2 – Corridor 3,2017,Osram,Fair,Serendib Grand Kilinochchi,Kilinochchi,Northern,3,177,City Hotel,M000016,11/17/2025,3,0,0,SL FireTech,3050,2/16/2026,8,Low,Low,4,Medium,32,No,Low,No,4,5,Valid,97,No,0,,2,Yes
FE000017,H0184,Emergency Light,Lobby,Floor 1 – Corridor 1,2024,Local,Fair,Jetwing Bay Kilinochchi,Kilinochchi,Northern,3,148,Resort,M000017,11/21/2025,3,0,0,SL FireTech,3350,2/20/2026,1,Low,Medium,7,Medium,29,No,Medium,No,5,4,Valid,95,No,0,,1,No
FE000018,H0081,Hose Reel,Boiler Room,Car Park – Section C,2021,FirePro SL,Fair,Pearl Villa Monaragala,Monaragala,Uva,4,166,Resort,M000018,5/22/2025,12,6,2,Lanka Safety,5150,5/22/2026,4,Medium,Medium,7,Low,29,No,Medium,Yes,7,4,Valid,67,Yes,2,2020,0,No
FE000019,H0074,Smoke Detector,Guest Floor,Floor 2 – Corridor 3,2015,Bosch,Good,Aitken Cove Puttalam,Puttalam,North Western,3,213,Resort,M000019,8/12/2025,6,4,0,City Fire,3600,2/10/2026,10,Medium,Medium,7,Low,31,No,High,No,2,3,Valid,86,No,0,,2,No
FE000020,H0191,Smoke Detector,Conference Hall,Floor 2 – Corridor 3,2014,Bosch,Fair,Heritance Inn Kurunegala,Kurunegala,North Western,3,93,Eco Lodge,M000020,9/7/2025,12,3,0,FirePro SL,4650,9/7/2026,11,Medium,Low,4,Low,31,No,High,No,4,3,Valid,88,No,0,,2,Yes
FE000021,H0237,Sprinkler,Restaurant,Kitchen – Zone 3,2020,Tyco,Good,Hilltop Bay Galle,Galle,Southern,5,138,Eco Lodge,M000021,9/20/2025,12,2,1,Lanka Safety,10100,9/20/2026,5,Low,Medium,7,High,30,Yes,Medium,Yes,7,5,Valid,88,Yes,4,2021,0,No
FE000022,H0140,Smoke Detector,Guest Floor,Floor 2 – Corridor 4,2019,Siemens,Good,Aitken Resort Monaragala,Monaragala,Uva,5,186,Resort,M000022,11/13/2025,6,0,1,SafetyOne Services,5100,5/14/2026,6,Low,Low,4,Medium,32,No,Medium,Yes,3,2,Valid,81,Yes,3,2023,2,No
FE000023,H0184,Smoke Detector,Conference Hall,Floor 3 – Corridor 2,2016,Bosch,Good,Jetwing Bay Kilinochchi,Kilinochchi,Northern,3,148,Resort,M000023,1/11/2025,12,11,1,City Fire,4250,1/11/2026,9,Low,Low,4,Medium,30,No,High,No,13,3,Valid,84,Yes,2,2022,3,Yes
FE000024,H0071,Fire Alarm,Lobby,Floor 3 – Corridor 1,2025,Honeywell,Good,Cinnamon Retreat Batticaloa,Batticaloa,Eastern,3,141,Hill Country,M000024,11/10/2025,12,1,0,Tyco Lanka,5850,11/10/2026,0,Low,Medium,7,Medium,28,Yes,High,No,4,3,Valid,91,No,0,,3,No
FE000025,H0174,Fire Extinguisher,Kitchen,Boiler Room 4 (Floor 1),2014,SafetyOne,Good,Jetwing Grand Hambantota,Hambantota,Southern,3,140,Resort,M000025,12/8/2024,12,12,1,SL FireTech,3300,12/8/2025,11,Medium,Medium,7,High,29,Yes,High,No,10,3,Valid,75,Yes,5,2018,1,Yes
FE000026,H0061,Emergency Light,Exit Route,Floor 1 – Corridor 2,2020,Philips,Good,Araliya Villa Negombo,Negombo,Western,4,151,Beach Hotel,M000026,11/4/2025,3,1,2,Lanka Safety,3500,2/3/2026,5,Low,High,18,High,30,Yes,High,Yes,12,5,Valid,73,Yes,5,2021,1,No
FE000027,H0174,Smoke Detector,Kitchen,Floor 3 – Corridor 2,2021,Bosch,Good,Jetwing Grand Hambantota,Hambantota,Southern,3,140,Resort,M000027,12/20/2024,12,11,0,SafetyOne Services,4100,12/20/2025,4,Low,Low,4,High,28,Yes,High,No,8,5,Valid,97,No,0,,3,No
FE000028,H0094,Smoke Detector,Kitchen,Floor 4 – Corridor 4,2019,Honeywell,Fair,Hilltop Villa Anuradhapura,Anuradhapura,North Central,3,100,Resort,M000028,11/22/2025,12,0,2,City Fire,4750,11/22/2026,6,Medium,Medium,7,Low,27,No,Low,No,3,3,Valid,69,Yes,1,2023,4,Yes
FE000029,H0133,Smoke Detector,Corridor,Floor 3 – Corridor 3,2017,Siemens,Fair,Araliya Heights Badulla,Badulla,Uva,5,196,Boutique,M000029,6/15/2025,6,5,2,Lanka Safety,5700,12/14/2025,8,Medium,Medium,7,Medium,28,No,Low,Yes,12,5,Valid,63,Yes,4,2019,3,No
FE000030,H0157,Smoke Detector,Conference Hall,Floor 2 – Corridor 3,2016,Honeywell,Good,Cinnamon Resort Matara,Matara,Southern,4,291,Resort,M000030,12/20/2025,6,0,0,Tyco Lanka,4200,6/20/2026,9,Low,Low,4,Medium,32,Yes,Medium,Yes,9,3,Valid,95,No,0,,2,No
FE000031,H0114,Hose Reel,Car Park,Car Park – Section B,2020,FirePro SL,Good,Cinnamon Cove Mannar,Mannar,Northern,5,407,City Hotel,M000031,10/21/2025,6,1,0,FirePro SL,6100,4/21/2026,5,Low,Medium,7,Medium,30,No,High,Yes,5,3,Valid,90,No,0,,0,No
FE000032,H0229,Smoke Detector,Lobby,Floor 1 – Corridor 4,2025,Honeywell,Good,Heritance Villa Puttalam,Puttalam,North Western,3,77,Beach Hotel,M000032,5/7/2025,12,7,0,Lanka Safety,3600,5/7/2026,0,Low,Low,4,Medium,32,No,Low,No,2,4,Valid,93,No,0,,1,Yes
FE000033,H0203,Fire Extinguisher,Laundry,Kitchen 2 (Floor 1),2018,ABC Lanka,Good,Lanka Villa Matale,Matale,Central,4,244,Hill Country,M000033,8/5/2025,6,4,0,SafetyOne Services,2800,2/3/2026,7,Low,Low,4,Low,18,No,Medium,Yes,14,3,Valid,93,No,0,,1,Yes
FE000034,H0034,Fire Alarm,Lobby,Floor 2 – Corridor 4,2021,Honeywell,Good,Jetwing Bay Anuradhapura,Anuradhapura,North Central,4,116,Beach Hotel,M000034,12/7/2025,6,0,1,City Fire,6800,6/7/2026,4,Low,High,18,Low,32,No,High,Yes,8,3,Valid,85,Yes,3,2022,2,No
FE000035,H0211,Fire Alarm,Security Room,Floor 4 – Corridor 4,2024,Bosch,Good,Jetwing Heights Kegalle,Kegalle,Sabaragamuwa,4,214,Eco Lodge,M000035,5/9/2024,12,19,1,SafetyOne Services,7750,5/9/2025,1,Low,High,18,Medium,32,No,High,Yes,10,4,Expired,87,Yes,2,2020,4,Yes
FE000036,H0089,Fire Extinguisher,Restaurant,Kitchen 1 (Floor 5),2011,SafetyOne,Good,Serendib Palace Batticaloa,Batticaloa,Eastern,5,228,City Hotel,M000036,9/18/2025,12,2,0,SL FireTech,3250,9/18/2026,14,Medium,High,18,Medium,27,Yes,Medium,Yes,8,2,Valid,83,No,0,,5,No
FE000037,H0213,Fire Extinguisher,Corridor,Boiler Room 1 (Floor 7),2010,FirePro SL,Fair,Serendib Grand Kilinochchi,Kilinochchi,Northern,3,177,City Hotel,M000037,11/12/2025,6,0,0,Lanka Safety,2900,5/13/2026,15,Medium,Medium,7,Medium,30,No,Medium,No,13,3,Valid,83,No,0,,7,No
FE000038,H0089,Hose Reel,Car Park,Basement – Section B,2017,Local,Fair,Serendib Palace Batticaloa,Batticaloa,Eastern,5,228,City Hotel,M000038,12/2/2025,6,0,1,FirePro SL,6150,6/2/2026,8,Medium,Low,4,High,28,Yes,Low,Yes,13,4,Valid,72,Yes,4,2023,0,No
FE000039,H0033,Fire Alarm,Lobby,Floor 3 – Corridor 2,2020,Siemens,Good,Pearl Inn Ratnapura,Ratnapura,Sabaragamuwa,4,179,Eco Lodge,M000039,10/5/2025,12,2,0,Tyco Lanka,5500,10/5/2026,5,Low,Medium,7,Medium,30,No,High,Yes,1,3,Valid,97,No,0,,3,Yes
FE000040,H0160,Emergency Light,Exit Route,Floor 3 – Corridor 2,2014,Osram,Good,Jetwing Palace Puttalam,Puttalam,North Western,5,299,Hill Country,M000040,12/22/2025,3,0,1,Tyco Lanka,3600,3/23/2026,11,Medium,Medium,7,Low,31,No,High,Yes,9,4,Valid,75,Yes,1,2020,3,Yes
FE000041,H0198,Fire Alarm,Security Room,Floor 2 – Corridor 2,2012,Local,Good,Cinnamon Cove Ampara,Ampara,Eastern,3,129,Boutique,M000041,6/23/2025,12,5,0,Tyco Lanka,5550,6/23/2026,13,Medium,Low,4,High,31,Yes,High,No,2,4,Valid,83,No,0,,2,No
FE000042,H0140,Smoke Detector,Kitchen,Floor 5 – Corridor 3,2015,Local,Good,Aitken Resort Monaragala,Monaragala,Uva,5,186,Resort,M000042,5/11/2025,6,7,0,SL FireTech,4950,11/9/2025,10,Medium,Medium,7,Medium,28,No,High,Yes,14,4,Expired,84,No,0,,5,No
FE000043,H0177,Fire Extinguisher,Laundry,Kitchen 3 (Floor 1),2016,Local,Good,Hilltop Heights Matara,Matara,Southern,4,180,Beach Hotel,M000043,9/16/2025,6,2,0,Lanka Safety,3400,3/17/2026,9,Medium,Low,4,High,26,Yes,Low,Yes,4,5,Valid,81,No,0,,1,No
FE000044,H0081,Sprinkler,Restaurant,Conference Hall – Zone 1,2013,Local,Fair,Pearl Villa Monaragala,Monaragala,Uva,4,166,Resort,M000044,3/13/2025,12,9,0,Lanka Safety,7600,3/13/2026,12,Medium,High,18,Medium,30,No,Medium,Yes,6,4,Valid,88,No,0,,0,Yes
FE000045,H0195,Smoke Detector,Corridor,Floor 1 – Corridor 4,2006,Siemens,Good,Serendib Villa Galle,Galle,Southern,4,190,City Hotel,M000045,12/8/2025,6,0,0,City Fire,5050,6/8/2026,19,High,Low,4,High,30,Yes,Low,Yes,13,3,Valid,72,No,0,,1,No
FE000046,H0064,Fire Extinguisher,Kitchen,Laundry 2 (Floor 5),2015,FirePro SL,Good,Aitken Resort Anuradhapura,Anuradhapura,North Central,5,188,City Hotel,M000046,5/4/2025,12,7,0,Lanka Safety,3500,5/4/2026,10,Medium,Medium,7,Low,31,No,High,Yes,9,2,Valid,81,No,0,,5,No
FE000047,H0209,Smoke Detector,Corridor,Floor 4 – Corridor 2,2020,Bosch,Good,Aitken Inn Anuradhapura,Anuradhapura,North Central,3,150,City Hotel,M000047,11/17/2025,6,0,0,SafetyOne Services,4100,5/18/2026,5,Low,Medium,7,Medium,31,No,Low,No,1,5,Valid,97,No,0,,4,Yes
FE000048,H0120,Smoke Detector,Kitchen,Floor 5 – Corridor 4,2025,Local,Good,Araliya Sands Galle,Galle,Southern,3,165,Resort,M000048,9/10/2025,6,3,0,Lanka Safety,3700,3/11/2026,0,Low,Medium,7,Medium,32,Yes,Low,No,9,4,Valid,95,No,0,,5,No
FE000049,H0056,Fire Alarm,Lobby,Floor 5 – Corridor 2,2015,Honeywell,Fair,Ocean Heights Matale,Matale,Central,3,175,Beach Hotel,M000049,11/3/2025,6,1,0,Tyco Lanka,5450,5/4/2026,10,Medium,Medium,7,Low,23,No,High,No,8,4,Valid,80,No,0,,5,No
FE000050,H0173,Smoke Detector,Corridor,Floor 3 – Corridor 4,2006,Siemens,Good,Araliya Inn Kurunegala,Kurunegala,North Western,3,115,Boutique,M000050,12/9/2024,12,12,0,FirePro SL,5000,12/9/2025,19,Medium,Low,4,Low,30,No,Medium,No,12,5,Valid,89,No,0,,3,Yes
FE000051,H0187,Smoke Detector,Conference Hall,Floor 4 – Corridor 4,2019,Bosch,Good,Serendib Villa Jaffna,Jaffna,Northern,4,208,Business Hotel,M000051,10/22/2025,6,1,0,Lanka Safety,5100,4/22/2026,6,Low,High,18,Low,31,No,High,Yes,7,4,Valid,93,No,0,,4,Yes
FE000052,H0093,Fire Alarm,Lobby,Floor 1 – Corridor 2,2025,Local,Good,Cinnamon Palace Polonnaruwa,Polonnaruwa,North Central,3,77,Resort,M000052,2/4/2025,12,10,0,SafetyOne Services,5800,2/4/2026,0,Low,High,18,Low,28,No,Medium,No,2,5,Valid,94,No,0,,1,No
FE000053,H0175,Fire Alarm,Security Room,Floor 2 – Corridor 1,2019,Honeywell,Good,Jetwing Heights Kurunegala,Kurunegala,North Western,3,136,Resort,M000053,12/12/2025,12,0,0,FirePro SL,5700,12/12/2026,6,Low,High,18,Low,29,No,Medium,No,14,5,Valid,91,No,0,,2,Yes
FE000054,H0194,Fire Extinguisher,Restaurant,Kitchen 1 (Floor 1),2012,Local,Good,Aitken Resort Hambantota,Hambantota,Southern,3,45,Hill Country,M000054,10/22/2025,6,1,0,Tyco Lanka,3100,4/22/2026,13,Medium,High,18,High,32,Yes,Medium,No,7,5,Valid,89,No,0,,1,Yes
FE000055,H0086,Sprinkler,Storage,Conference Hall – Zone 1,2015,Tyco,Good,Lanka Sands Monaragala,Monaragala,Uva,5,229,Boutique,M000055,6/7/2025,12,6,0,SafetyOne Services,8050,6/7/2026,10,Medium,Medium,7,Low,28,No,High,Yes,2,3,Valid,84,No,0,,0,No
FE000056,H0082,Fire Extinguisher,Restaurant,Laundry 3 (Floor 1),2010,FirePro SL,Fair,Heritance Grand Anuradhapura,Anuradhapura,North Central,5,281,Hill Country,M000056,6/7/2025,6,6,1,SafetyOne Services,4000,12/6/2025,15,Medium,High,18,Low,27,No,Medium,Yes,9,5,Valid,70,Yes,4,2021,1,Yes
FE000057,H0126,Emergency Light,Exit Route,Floor 4 – Corridor 2,2018,Philips,Good,Heritance Inn Colombo,Colombo,Western,5,391,City Hotel,M000057,11/11/2025,6,1,0,SL FireTech,3350,5/12/2026,7,Low,Low,4,Medium,26,Yes,High,Yes,12,4,Valid,91,No,0,,4,Yes
FE000058,H0107,Fire Alarm,Lobby,Floor 4 – Corridor 4,2015,Local,Fair,Lanka Retreat Negombo,Negombo,Western,4,293,City Hotel,M000058,11/2/2025,6,1,0,SafetyOne Services,6400,5/3/2026,10,Medium,Low,4,High,28,Yes,Low,Yes,4,3,Valid,80,No,0,,4,Yes
FE000059,H0148,Fire Extinguisher,Kitchen,Kitchen 1 (Floor 4),2021,Local,Fair,Jetwing Sands Kandy,Kandy,Central,5,180,Boutique,M000059,11/2/2025,6,1,0,City Fire,3350,5/3/2026,4,Low,Low,4,Low,18,No,Medium,Yes,2,5,Valid,91,No,0,,4,No
FE000060,H0038,Sprinkler,Kitchen,Storage – Zone 2,2009,Tyco,Good,Cinnamon Cove Ratnapura,Ratnapura,Sabaragamuwa,5,142,Business Hotel,M000060,10/20/2025,12,1,0,City Fire,9250,10/20/2026,16,Medium,Medium,7,Medium,30,No,High,Yes,5,4,Valid,81,No,0,,0,No
FE000061,H0081,Smoke Detector,Conference Hall,Floor 8 – Corridor 1,2021,Honeywell,Fair,Pearl Villa Monaragala,Monaragala,Uva,4,166,Resort,M000061,12/3/2024,12,12,0,Tyco Lanka,5100,12/3/2025,4,Low,Medium,7,Medium,32,No,Low,Yes,9,3,Valid,96,No,0,,8,Yes
FE000062,H0187,Fire Extinguisher,Corridor,Restaurant 3 (Floor 1),2011,SafetyOne,Good,Serendib Villa Jaffna,Jaffna,Northern,4,208,Business Hotel,M000062,9/7/2025,6,3,1,FirePro SL,4100,3/8/2026,14,Medium,Low,4,Medium,27,No,Medium,Yes,4,5,Valid,76,Yes,4,2024,1,No
FE000063,H0245,Fire Extinguisher,Restaurant,Laundry 2 (Floor 1),2015,FirePro SL,Fair,Serendib Heights Kurunegala,Kurunegala,North Western,3,47,Beach Hotel,M000063,10/3/2025,6,2,1,FirePro SL,3600,4/3/2026,10,Medium,High,18,Low,32,No,Medium,No,5,4,Valid,76,Yes,4,2024,1,Yes
FE000064,H0157,Smoke Detector,Lobby,Floor 3 – Corridor 4,2020,Bosch,Fair,Cinnamon Resort Matara,Matara,Southern,4,291,Resort,M000064,8/16/2025,12,3,0,FirePro SL,4950,8/16/2026,5,Low,Medium,7,High,30,Yes,Medium,Yes,8,4,Valid,91,No,0,,3,No
FE000065,H0198,Smoke Detector,Lobby,Floor 2 – Corridor 4,2016,Local,Good,Cinnamon Cove Ampara,Ampara,Eastern,3,129,Boutique,M000065,6/12/2025,6,6,0,Tyco Lanka,4650,12/11/2025,9,Low,Low,4,Medium,31,Yes,Low,No,3,4,Valid,92,No,0,,2,No
FE000066,H0071,Smoke Detector,Corridor,Floor 1 – Corridor 4,2021,Local,Fair,Cinnamon Retreat Batticaloa,Batticaloa,Eastern,3,141,Hill Country,M000066,4/11/2025,12,8,0,Lanka Safety,4100,4/11/2026,4,Low,Medium,7,Medium,32,Yes,Medium,No,6,3,Valid,91,No,0,,1,No
FE000067,H0075,Fire Extinguisher,Kitchen,Kitchen 1 (Floor 1),2009,FirePro SL,Good,Pearl Inn Anuradhapura,Anuradhapura,North Central,3,20,Resort,M000067,3/4/2025,12,9,0,City Fire,3400,3/4/2026,16,Medium,Low,4,Medium,30,No,High,No,1,4,Valid,84,No,0,,1,Yes
FE000068,H0055,Fire Extinguisher,Restaurant,Restaurant 4 (Floor 3),2025,FirePro SL,Good,Hilltop Heights Mannar,Mannar,Northern,5,321,Hill Country,M000068,8/15/2025,12,3,1,SafetyOne Services,3950,8/15/2026,0,Low,High,18,Medium,29,No,Low,Yes,14,5,Valid,82,Yes,2,2022,3,No
FE000069,H0190,Fire Alarm,Security Room,Floor 4 – Corridor 4,2018,Honeywell,Good,Araliya Inn Badulla,Badulla,Uva,5,169,City Hotel,M000069,7/7/2025,12,5,0,Lanka Safety,6350,7/7/2026,7,Low,Low,4,Low,26,No,Medium,Yes,3,4,Valid,99,No,0,,4,No
FE000070,H0014,Fire Extinguisher,Boiler Room,Restaurant 1 (Floor 1),2018,Local,Good,Cinnamon Palace Colombo,Colombo,Western,4,65,City Hotel,M000070,6/19/2025,6,5,0,SafetyOne Services,3950,12/18/2025,7,Medium,High,18,High,29,Yes,Low,Yes,8,4,Valid,85,No,0,,1,No
FE000071,H0238,Fire Extinguisher,Laundry,Restaurant 3 (Floor 3),2025,Local,Good,Heritance Grand Matale,Matale,Central,3,131,Resort,M000071,10/14/2025,6,1,0,Tyco Lanka,3600,4/14/2026,0,Low,High,18,Medium,18,No,Medium,No,10,4,Valid,95,No,0,,3,No
FE000072,H0016,Hose Reel,Basement,Basement – Section A,2021,FirePro SL,Fair,Heritance Villa Matara,Matara,Southern,4,146,Resort,M000072,12/5/2024,12,12,0,SL FireTech,5700,12/5/2025,4,Low,Low,4,High,26,Yes,Medium,Yes,10,5,Valid,94,No,0,,0,No
FE000073,H0234,Hose Reel,Boiler Room,Basement – Section C,2011,Local,Fair,Cinnamon Grand Monaragala,Monaragala,Uva,4,140,Beach Hotel,M000073,9/21/2025,12,2,0,City Fire,5300,9/21/2026,14,Medium,Low,4,Low,28,No,Medium,Yes,6,4,Valid,81,No,0,,0,Yes
FE000074,H0202,Smoke Detector,Kitchen,Floor 3 – Corridor 1,2021,Siemens,Good,Hilltop Cove Kegalle,Kegalle,Sabaragamuwa,4,213,City Hotel,M000074,11/4/2025,6,1,0,FirePro SL,3700,5/5/2026,4,Low,High,18,Medium,32,No,Low,Yes,10,4,Valid,97,No,0,,3,Yes
FE000075,H0073,Smoke Detector,Corridor,Floor 5 – Corridor 4,2013,Local,Fair,Jetwing Heights Puttalam,Puttalam,North Western,4,177,Boutique,M000075,12/18/2024,12,11,0,City Fire,3800,12/18/2025,12,Medium,Medium,7,Medium,27,No,Medium,Yes,14,4,Valid,85,No,0,,5,Yes
FE000076,H0070,Fire Extinguisher,Kitchen,Laundry 1 (Floor 5),2018,FirePro SL,Fair,Pearl Cove Puttalam,Puttalam,North Western,3,81,Hill Country,M000076,10/9/2025,6,2,1,Tyco Lanka,4000,4/9/2026,7,Medium,Medium,7,Medium,29,No,Medium,No,4,4,Valid,71,Yes,2,2023,5,No
FE000077,H0048,Fire Extinguisher,Boiler Room,Kitchen 1 (Floor 2),2015,FirePro SL,Good,Heritance Heights Kilinochchi,Kilinochchi,Northern,4,243,Hill Country,M000077,11/16/2025,6,0,0,Tyco Lanka,2900,5/17/2026,10,Medium,High,18,Low,27,No,High,Yes,12,5,Valid,80,No,0,,2,Yes
FE000078,H0230,Smoke Detector,Conference Hall,Floor 4 – Corridor 1,2016,Bosch,Good,Heritance Bay Hambantota,Hambantota,Southern,3,160,Eco Lodge,M000078,8/20/2025,6,3,0,Lanka Safety,4400,2/18/2026,9,Low,Low,4,Medium,30,Yes,Low,No,8,5,Valid,95,No,0,,4,No
FE000079,H0123,Smoke Detector,Lobby,Floor 5 – Corridor 1,2016,Siemens,Good,Heritance Sands Kegalle,Kegalle,Sabaragamuwa,3,204,City Hotel,M000079,6/16/2025,6,5,0,FirePro SL,3950,12/15/2025,9,Low,Medium,7,Medium,26,No,Medium,No,13,5,Valid,91,No,0,,5,No
FE000080,H0245,Smoke Detector,Corridor,Floor 2 – Corridor 3,2013,Siemens,Fair,Serendib Heights Kurunegala,Kurunegala,North Western,3,47,Beach Hotel,M000080,7/12/2025,6,5,1,SL FireTech,3850,1/10/2026,12,Medium,Low,4,Low,31,No,Medium,No,3,4,Valid,73,Yes,5,2019,2,Yes
FE000081,H0171,Fire Extinguisher,Boiler Room,Boiler Room 2 (Floor 2),2014,SafetyOne,Fair,Ocean Heights Jaffna,Jaffna,Northern,3,66,Hill Country,M000081,11/6/2025,6,1,0,Tyco Lanka,3600,5/7/2026,11,Medium,High,18,Low,32,No,Low,No,2,4,Valid,83,No,0,,2,No
FE000082,H0198,Smoke Detector,Guest Floor,Floor 4 – Corridor 2,2020,Bosch,Good,Cinnamon Cove Ampara,Ampara,Eastern,3,129,Boutique,M000082,12/15/2025,6,0,0,Lanka Safety,4650,6/15/2026,5,Low,Medium,7,Medium,32,Yes,Medium,No,10,5,Valid,98,No,0,,4,No
FE000083,H0123,Fire Extinguisher,Restaurant,Boiler Room 1 (Floor 4),2019,FirePro SL,Fair,Heritance Sands Kegalle,Kegalle,Sabaragamuwa,3,204,City Hotel,M000083,10/6/2025,6,2,0,SafetyOne Services,3050,4/6/2026,6,Low,Medium,7,Medium,28,No,Medium,No,8,3,Valid,99,No,0,,4,No
